filing_number,service_type,active_agreements,mutual_partners,years_collaborating,completeness_score,filing_year,col_direction,participant_1,participant_2,bonding_dum,service_contract
M507922,Police Protection,3,6,20.87777778,5,2015,Vertical,Bonaparte City,Van Buren County,Yes,Yes
M507938,Jail and Corrections,2,11,5.038888889,3,2015,Vertical,Albia City,Monroe County,Yes,No
M507954,Emergency Management,1,0,0,4,2015,Vertical,Clearfield City,Taylor County,No,Yes
M507966,Police Protection,24,17,22.00277778,2,2015,Vertical,Gilbert City,Story County Sheriff,Yes,Yes
M507972,Police Protection,22,24,22.00277778,3,2015,Vertical,Slater City,Story County Sheriff,Yes,Yes
M507973,Police Protection,23,14,22.00277778,2,2015,Vertical,Story County Sheriff,Zearing City,Yes,Yes
M507999,Fire Response,8,0,8.116666667,2,2015,Horizontal,Mechanicsville City,Rome Township (Jones County),No,Yes
M508019,Fire Response,2,0,1.177777778,0,2015,Horizontal,Grove Township (Taylor County),Sharpsburg City,No,Yes
M508022,Fire Response,1,0,0,2,2015,Horizontal,Palmer City,Palmer Rural Fire Association,No,No
M508133,Police Protection,4,10,7.269444444,5,2015,Vertical,Floyd County,Marble Rock City,Yes,Yes
M508152,Police Protection,3,10,5.036111111,6,2015,Vertical,Floyd County,Rockford City,Yes,Yes
M508209,Police Protection,2,0,4.280555556,4,2015,Vertical,Guthrie Center City,Guthrie County,No,Yes
M508212,Jail and Corrections,4,1,21.15277778,5,2015,Vertical,Fremont County,Sidney City,Yes,Yes
M508216,Police Protection,1,0,0,6,2015,Vertical,Fremont County,Riverton City,No,Yes
M508262,Fire Response,2,0,3.377777778,3,2015,Horizontal,Adair City,"Adair Community Fire Board, Inc.",No,Yes
M508293,Police Protection,2,1,0,2,2015,Horizontal,Hiawatha City,Marion City,Yes,No
M508344,Police Protection,10,32,13.21666667,2,2015,Vertical,Elberon City,Tama County Sheriff,Yes,Yes
M508350,Police Protection,8,32,17.2,4,2015,Vertical,Chelsea City,Tama County Sheriff,Yes,Yes
M508354,Criminal Investigation,1,0,0,5,2015,Vertical,Fort Dodge Housing Authority,Iowa Department of Inspections and Appeals,No,No
M508631,Emergency Management,96,67,0,4,2015,Horizontal,Mahaska County E-911 Board,Mahaska County Emergency Management Agency,Yes,No
M508644,Fire Response,1,0,0,3,2015,Horizontal,Burlington City,Mount Pleasant City,No,No
M508730,Police Protection,1,0,0,2,2015,Horizontal,St. Ansgar City,St. Ansgar Community School District,No,Yes
M508757,Criminal Investigation,1,0,0,5,2016,Vertical,Cedar Rapids Housing Services,Iowa Department of Inspections and Appeals,No,No
M508770,Police Protection,2,5,13.86111111,3,2016,Horizontal,Paullina City,Sutherland City,Yes,Yes
M508849,Fire Response,1,0,0,2,2016,Horizontal,Hudson City,Midwest Fire,No,Yes
M508859,Criminal Investigation,1,0,0,5,2016,Vertical,Iowa Department of Inspections and Appeals,Municipal Housing Agency of Centerville,No,No
M508881,Police Protection,15,0,20.45277778,3,2016,Vertical,Minden City,Pottawattamie County,No,Yes
M508886,Police Protection,15,0,22.71666667,3,2016,Vertical,Pottawattamie County,Underwood City,No,Yes
M508912,Fire Response,1,0,0,6,2016,Horizontal,Corning Volunteer Fire Department,Prescott Township (Adams County),No,Yes
M508923,Criminal Investigation,1,0,0,5,2016,Vertical,Iowa Department of Inspections and Appeals,Muscatine Municipal Housing Agency,No,No
M508927,Fire Response,9,0,9.122222222,4,2016,Horizontal,Fremont Township (Cedar County),Mechanicsville City,No,Yes
M508946,Police Protection,4,0,21.92777778,7,2016,Vertical,Fremont County Sheriff,Sidney City,No,Yes
M508947,Criminal Investigation,1,0,0,5,2016,Vertical,Charles City Housing and Redevelopment Authority,Iowa Department of Inspections and Appeals,No,No
M508949,Police Protection,1,2,0,6,2016,Horizontal,Elk Run Heights City,Evansdale City,Yes,Yes
M508958,Fire Response,1,0,0,3,2016,Horizontal,Garfield Township (Mahaska County),Osceola City,No,Yes
M508993,Police Protection,23,14,23.11944444,3,2016,Vertical,McCallsburg City,Story County Sheriff,Yes,Yes
M509002,Criminal Investigation,2,0,0.313888889,5,2016,Vertical,Cedar Rapids City,Iowa Department of Inspections and Appeals,No,No
M509004,Police Protection,1,4,0,3,2016,Horizontal,Cedar Rapids City,University Heights City,Yes,Yes
M509008,Jail and Corrections,3,11,6.194444444,3,2016,Vertical,Albia City,Monroe County,Yes,No
M509037,Fire Response,7,0,7.136111111,4,2016,Horizontal,Iowa Township (Cedar County),West Branch City,No,Yes
M509050,Fire Response,1,0,0,5,2016,Horizontal,Pierson City,Rutland Township (Iowa County),No,Yes
M509059,Fire Response,1,0,0,3,2016,Horizontal,Adams Township (Dallas County),Osceola City,No,Yes
M509107,Criminal Investigation,1,0,0,5,2016,Vertical,Albia Housing Agency,Iowa Department of Inspections and Appeals,No,No
M509108,Criminal Investigation,1,0,0,5,2016,Vertical,Iowa Department of Inspections and Appeals,Oskaloosa Municipal Housing Agency,No,No
M509128,Criminal Investigation,1,1,0,5,2016,Vertical,Iowa City,Iowa Department of Inspections and Appeals,Yes,No
M509137,Fire Response,4,3,9.469444444,6,2016,Horizontal,Floyd Community Volunteer Fire Department,Floyd Township (Floyd County),Yes,Yes
M509178,Criminal Investigation,1,0,0,5,2016,Vertical,Iowa Department of Inspections and Appeals,North Iowa Regional Housing Authority,No,No
